student_id,student_group,attendance_rate,assignment_completion_rate,midterm_exam_score,previous_gpa,lms_engagement_hours,late_submissions_count,study_hours_weekly,support_needed
S0001,Group A,84.1,58.3,68.2,8.48,9.6,2,11.2,0
S0002,Group C,66.0,76.8,65.3,6.42,14.2,3,10.4,0
S0003,Group B,86.6,56.9,40.9,5.68,14.5,2,6.8,1
S0004,Group B,89.3,88.6,58.4,5.89,24.5,2,6.1,1
S0005,Group A,88.7,79.2,92.5,6.64,16.3,3,14.3,0
S0006,Group A,95.0,57.6,58.6,6.82,15.0,3,9.2,1
S0007,Group A,92.0,73.7,73.3,6.26,15.5,4,13.6,0
S0008,Group C,87.5,67.5,53.2,5.55,20.6,4,7.6,1
S0009,Group B,81.2,82.5,53.0,6.68,12.0,4,12.9,1
S0010,Group B,62.1,96.8,76.8,7.54,19.8,4,18.5,1
S0011,Group A,87.2,51.7,63.3,8.1,7.4,4,14.9,0
S0012,Group C,84.5,79.6,63.6,6.55,9.2,3,9.9,0
S0013,Group C,85.3,75.8,67.5,6.74,17.0,1,13.3,0
S0014,Group A,66.7,87.4,68.1,6.05,18.4,7,10.8,0
S0015,Group A,69.0,81.0,67.3,7.26,16.1,3,12.0,0
S0016,Group A,94.6,67.5,53.1,6.15,14.5,2,10.4,0
S0017,Group A,81.5,73.5,73.5,8.07,25.0,1,11.2,0
S0018,Group B,90.2,66.9,44.7,4.89,13.9,3,13.1,1
S0019,Group A,82.3,93.1,53.7,6.81,20.4,2,7.0,0
S0020,Group A,82.4,78.3,73.4,7.71,14.6,2,6.9,0
S0021,Group B,93.3,100.0,79.1,7.55,20.9,2,5.1,0
S0022,Group A,75.8,77.2,70.6,10.0,15.6,8,4.0,0
S0023,Group A,83.2,68.1,52.4,7.77,13.7,3,5.9,0
S0024,Group A,76.5,56.8,52.1,5.94,18.5,4,12.8,1
S0025,Group B,76.8,52.8,54.4,7.17,16.0,8,7.5,1
S0026,Group B,78.3,55.8,42.9,4.9,13.3,6,14.6,1
S0027,Group A,84.7,81.7,65.1,7.19,10.2,2,12.2,0
S0028,Group B,76.3,85.1,66.4,6.18,16.5,6,2.2,0
S0029,Group B,97.1,55.9,81.3,8.54,21.0,0,15.3,0
S0030,Group A,71.3,90.5,69.4,6.56,17.8,4,16.1,0
S0031,Group B,79.8,71.2,69.1,7.14,18.7,3,7.0,0
S0032,Group A,76.7,80.1,52.9,6.44,21.1,1,14.1,0
S0033,Group A,99.4,100.0,89.3,9.65,20.7,1,7.7,0
S0034,Group C,84.4,90.6,66.8,6.87,16.0,4,12.5,0
S0035,Group C,94.4,74.2,75.7,9.77,8.6,1,5.7,0
S0036,Group C,64.2,65.5,57.8,8.4,16.5,3,3.0,1
