fairness_rank,student_id,school,sex,need_probability,need_score,baseline_selected,fairness_selected,G1,G2,absences,failures
1,MAT_138,GP,F,1.0,100.0,1,1,4,0,0,2
2,MAT_145,GP,M,1.0,100.0,1,1,5,0,0,3
3,MAT_154,GP,M,1.0,100.0,1,1,5,0,0,3
4,MAT_163,GP,M,1.0,100.0,1,1,7,0,0,1
5,MAT_243,GP,M,1.0,100.0,1,1,6,0,0,0
6,MAT_245,GP,F,1.0,100.0,1,1,7,0,0,0
7,MAT_249,GP,M,1.0,100.0,1,1,3,5,8,1
8,MAT_270,GP,F,1.0,100.0,1,1,6,0,0,0
9,MAT_333,GP,F,1.0,100.0,1,1,7,0,0,0
10,MAT_136,GP,F,0.9999,100.0,1,1,11,0,0,0
11,MAT_151,GP,M,0.9999,100.0,1,1,6,5,0,3
12,MAT_390,MS,F,0.9998,100.0,1,1,6,5,0,1
13,MAT_135,GP,M,0.9997,100.0,1,1,9,0,0,0
14,MAT_222,GP,F,0.9995,100.0,1,1,6,5,0,1
15,MAT_129,GP,M,0.9993,99.9,1,1,7,4,0,2
16,MAT_137,GP,M,0.9993,99.9,1,1,10,0,0,0
17,MAT_387,MS,F,0.9993,99.9,1,1,6,5,7,0
18,MAT_132,GP,F,0.9992,99.9,1,1,8,0,0,0
19,MAT_218,GP,M,0.9992,99.9,1,1,6,6,13,1
20,MAT_131,GP,F,0.9989,99.9,1,1,12,0,0,2
21,MAT_080,GP,F,0.9988,99.9,1,1,5,5,12,0
22,MAT_019,GP,M,0.9987,99.9,1,1,6,5,16,3
23,MAT_008,GP,F,0.9984,99.8,1,1,6,5,6,0
24,MAT_279,GP,F,0.9982,99.8,1,1,9,8,15,1
25,MAT_371,MS,F,0.998,99.8,1,1,7,7,4,2
26,MAT_001,GP,F,0.9979,99.8,1,1,5,6,6,0
27,MAT_149,GP,M,0.9979,99.8,1,1,7,6,0,0
28,MAT_384,MS,M,0.9977,99.8,1,1,6,5,0,1
29,MAT_217,GP,F,0.9974,99.7,1,1,6,6,22,2
30,MAT_171,GP,M,0.9965,99.7,1,1,6,5,0,2
31,MAT_221,GP,F,0.9964,99.6,1,1,6,6,2,0
32,MAT_161,GP,M,0.9962,99.6,1,1,7,6,0,2
