student_id,sex,school,need_score,selected_for_support
S0138,F,GP,100.0,1
S0145,M,GP,100.0,1
S0154,M,GP,100.0,1
S0163,M,GP,100.0,1
S0243,M,GP,100.0,1
S0245,F,GP,100.0,1
S0270,F,GP,100.0,1
S0333,F,GP,100.0,1
S0136,F,GP,100.0,1
S0249,M,GP,100.0,1
S0135,M,GP,100.0,1
S0137,M,GP,99.9,1
S0222,F,GP,99.9,1
S0151,M,GP,99.9,1
S0390,F,MS,99.9,1
S0080,F,GP,99.9,1
S0387,F,MS,99.9,1
S0129,M,GP,99.9,1
S0131,F,GP,99.9,1
S0132,F,GP,99.9,1
S0218,M,GP,99.9,1
S0019,M,GP,99.8,1
S0279,F,GP,99.8,1
S0371,F,MS,99.8,1
S0001,F,GP,99.7,1
S0217,F,GP,99.7,1
S0374,F,MS,99.7,1
S0221,F,GP,99.7,1
S0008,F,GP,99.6,1
S0149,M,GP,99.6,1
S0384,M,MS,99.5,1
S0385,M,MS,99.4,1
S0308,M,GP,99.4,1
S0093,F,GP,99.4,1
S0161,M,GP,99.2,1
S0178,M,GP,99.2,1
S0002,F,GP,99.2,1
S0171,M,GP,99.1,1
S0147,F,GP,99.1,1
S0090,M,GP,99.1,1
S0210,F,GP,99.0,1
S0083,F,GP,99.0,1
S0128,F,GP,98.8,1
S0165,M,GP,98.0,1
S0211,F,GP,97.9,1
S0271,F,GP,97.9,1
S0388,F,MS,97.8,1
S0214,M,GP,97.8,1
S0207,F,GP,97.3,1
S0141,M,GP,97.2,1
S0174,F,GP,97.2,1
S0248,M,GP,97.0,1
S0104,F,GP,96.9,1
S0235,M,GP,96.8,1
S0331,M,GP,96.5,1
S0311,F,GP,96.5,1
S0101,M,GP,96.5,1
S0240,M,GP,96.4,1
S0204,F,GP,96.1,1
S0073,F,GP,95.9,1
S0351,M,MS,95.4,1
S0334,F,GP,95.3,1
S0087,F,GP,95.0,1
S0389,F,MS,94.9,1
S0026,F,GP,94.2,1
S0353,M,MS,94.1,1
S0068,F,GP,94.1,1
S0395,M,MS,94.0,1
S0260,F,GP,93.9,1
S0036,F,GP,93.7,1
S0298,F,GP,92.8,1
S0142,M,GP,92.6,1
S0091,F,GP,91.9,1
S0226,F,GP,91.6,1
S0125,F,GP,91.3,1
S0100,F,GP,91.1,1
S0050,F,GP,91.1,1
S0169,F,GP,90.5,1
S0193,M,GP,88.6,1
S0098,F,GP,92.2,0
S0382,M,MS,91.0,0
S0219,F,GP,89.9,0
S0391,M,MS,88.3,0
S0277,F,GP,88.1,0
S0262,M,GP,87.7,0
S0189,F,GP,87.5,0
S0256,M,GP,86.4,0
S0192,F,GP,86.1,0
S0181,M,GP,85.8,0
S0297,F,GP,85.8,0
S0156,M,GP,85.5,0
S0281,M,GP,85.5,0
S0335,F,GP,85.4,0
S0368,F,MS,85.0,0
S0063,F,GP,84.7,0
S0086,F,GP,84.5,0
S0251,M,GP,84.4,0
S0278,M,GP,84.3,0
S0011,F,GP,83.5,0
S0393,M,MS,83.4,0
S0318,F,GP,83.3,0
S0344,F,GP,83.1,0
S0354,M,MS,82.3,0
S0184,F,GP,81.7,0
S0064,F,GP,80.1,0
S0378,F,MS,79.7,0
S0041,F,GP,77.8,0
S0206,F,GP,77.7,0
S0162,M,GP,77.6,0
S0119,M,GP,77.2,0
S0338,F,GP,76.7,0
S0264,F,GP,76.6,0
S0115,M,GP,75.3,0
S0329,F,GP,75.0,0
S0253,M,GP,75.0,0
S0265,F,GP,74.3,0
S0079,M,GP,74.1,0
S0046,F,GP,74.1,0
S0179,M,GP,73.9,0
